probe_config,condition,public_condition,edm_id,edm_side,edm_x,edm_y,edm_z,length_mm,scan_id,source_x,source_y,source_z,focus_x,focus_y,focus_z,ut_path_mm,central_focus_distance_mm,edm_to_focus_error_mm,edm_to_beam_axis_mm,projection_along_beam_mm,delay_span_us,n_elements,relative_amplitude_percent,amplitude_note,calibration_status,detection_status
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,10,-135.3024148437535,157.92281289642793,-86.93037713999999,-113.3016834944249,130.60654183979702,-51.8,55.389890969753765,49.64226266341307,19.851760112608666,19.739197004647572,51.75330060250189,1.0730514471587735,16,0.6377685146562275,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,11,-133.82283953829096,158.5578860389059,-86.44206371999998,-112.15856751978896,131.58710612802994,-51.8,55.35780338747901,48.95749411349705,21.349084951758332,21.239149549412982,51.12127661066822,1.0700243777872789,16,0.2980942432972035,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,12,-132.34412773399032,159.18438922350688,-85.97012664,-111.00774198986298,132.5586618418747,-51.8,55.38040985579581,48.288386490095476,22.846402001462295,22.739433100906304,50.4966135304669,1.0673765740659782,16,0.1317814184816608,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,13,-130.85578320019675,159.80836126241908,-85.49710414,-109.85149267437232,133.52375610468974,-51.8,55.450198168479176,47.61885672937745,24.343956777486728,24.23950565251386,49.871543415512605,1.0699482085297485,16,0.05511081779305291,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,14,-129.372420748026,160.42351648234117,-85.02872378,-108.68080939579498,134.471273148349,-51.8,55.56679826313691,46.96604942366405,25.840130695367733,25.73936365173314,49.24585493236962,1.0669086659837266,16,0.021808840785049653,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,15,-127.88970162422818,161.03015370306392,-84.5766318,-107.50455468503364,135.4118845740274,-51.8,55.7361519254075,46.32663943189782,27.336449964851884,27.239541753123042,48.62639197526352,1.0646861595363897,16,0.008162613556214685,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,16,-126.39729447280997,161.63412806146707,-84.12331700999998,-106.32316097395022,136.3460194255881,-51.8,55.95173182038061,45.68649796864511,28.832891766531443,28.73938539080666,48.00670808395928,1.0684007554901471,16,0.002890420013133523,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,17,-124.8952239172675,162.2353138984563,-83.66869663999998,-105.13091956980664,137.2662663979146,-51.8,56.21357029696599,45.05213518753262,30.328348874825277,30.238270050469627,47.387894128002856,1.0680097133143818,16,0.0009689129962205734,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,18,-123.40312057148914,162.82482513737204,-83.22740508999999,-103.9289614713292,138.17378085317122,-51.8,56.52137154879266,44.43645629042588,31.822962178197475,31.73730771321451,46.76974172339851,1.0652730544029492,16,0.0003072991339192235,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,19,-121.90633193582056,163.4086707967418,-82.79349334,-102.72024413796868,139.07229639301443,-51.8,56.87593969301495,43.82877723051263,33.31729106097404,33.23601667559026,46.15451994662452,1.0631621875664743,16,9.222828246695507e-05,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,20,-120.40479024007126,163.98681603386112,-82.36689882,-101.50623977262364,139.96358191793738,-51.8,57.27637744332241,43.2273789470431,34.81152132747401,34.73446706528648,45.54229035435593,1.0666519924331936,16,2.6192085350888696e-05,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,21,-118.90312329828164,164.55897120733982,-81.9360958,-100.2819634722582,140.840773871955,-51.8,57.71483497209914,42.63196861714625,36.304628506438554,36.2321571922688,44.9247477572369,1.067087249592328,16,7.042746076254268e-06,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,22,-117.4015799372483,165.12263995325603,-81.52131262,-99.0531156252312,141.7115446465763,-51.8,58.198622107938135,42.04880438161801,37.797772591229496,37.72997232655327,44.31172309333175,1.0654371423802864,16,1.7915602294623914e-06,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,23,-115.89026747389566,165.6832415368084,-81.10493361,-97.8140229190828,142.56760508096949,-51.8,58.723601131453144,41.471223756364104,39.289554233955805,39.22623970896583,43.70084035966308,1.0689957442861004,16,4.3182305626319525e-07,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,24,-114.38374866471656,166.23508939740233,-80.6930734,-96.56919061106257,143.41537880798327,-51.8,59.284497386124904,40.9011902092059,40.78109045532333,40.72257344841833,43.08507446974677,1.0664711597004717,16,9.849006748578268e-08,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,25,-112.87708954377928,166.7784937043893,-80.29712085999998,-95.31611782598392,144.25087126756995,-51.8,59.886468128403614,40.3480779918764,42.271618903113605,42.21814030152739,42.4737294615725,1.0674328546458476,16,2.1274582508996818e-08,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,26,-111.37036182984778,167.31584232356897,-79.89689390000001,-94.0584099843881,145.07942248890697,-51.8,60.520332419956375,39.79444044826767,43.762083771678085,43.713548257550826,41.854943972687366,1.069741948687259,16,4.349326423832709e-09,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,27,-109.84883488179057,167.85016377831334,-79.50620210999999,-92.79086403932423,145.89280952110386,-51.8,61.19796780323364,39.252177144703644,45.250993960272154,45.20688893158556,41.249587347910634,1.0701517962031808,16,8.432401378142397e-10,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,28,-108.34177621247846,168.3729833905493,-79.11749698999998,-91.51717346437468,146.69657134598236,-51.8,61.89950832214682,38.71924248427397,46.739342688637194,46.70035542372633,40.62789600534537,1.0718014708145862,16,1.5474283820620397e-10,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,29,-106.81977257639309,168.8926958202528,-78.73818939,-90.23528945900809,147.48719891243675,-51.8,62.642459068863516,38.19563359538443,48.22645758437112,48.19193097904119,40.0201882392571,1.0703829270771177,16,2.6930925590672956e-11,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
1D16,A_PA1_to_C1,PA1 → C1,EDM_01,C1,-126.838,116.0865,-51.63,4.0,30,-105.30238674884818,169.40373249527613,-78.36332236999998,-88.94780272681719,148.268662840241,-51.8,63.412778239065155,37.67988433089199,49.713052154102336,49.68310425803046,39.40519756685063,1.0717564149925425,16,4.4389204184290106e-12,"Relative amplitude, not calibrated dB",Pending local geometry echo calibration,
