scan_id,focus_x,focus_y,focus_z,condition,max_response_raw,mean_response_raw,sigma_mm,n_elements,physics_level
71,-37.67,184.24999999999997,-51.79999999999998,A_PA1_to_C1,0.7953862324161728,0.008088076086501524,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
72,-36.315,184.52000000000004,-51.79999999999998,A_PA1_to_C1,0.7907101717386655,0.008128291540681122,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
73,-34.965,184.78999999999996,-51.79999999999998,A_PA1_to_C1,0.8163708483488961,0.00805484030149044,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
74,-33.610000000000014,185.04000000000005,-51.79999999999998,A_PA1_to_C1,0.8426304970341206,0.008139014991163,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
75,-32.25,185.28500000000003,-51.79999999999998,A_PA1_to_C1,0.7784927905819918,0.00810885257852227,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
76,-30.895000000000007,185.52000000000004,-51.79999999999998,A_PA1_to_C1,0.8045351662429743,0.008083199385388422,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
77,-29.52999999999999,185.745,-51.79999999999998,A_PA1_to_C1,0.8293781038366058,0.008165267234410753,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
78,-28.165000000000003,185.95499999999998,-51.79999999999998,A_PA1_to_C1,0.8193694119299664,0.00812514632142307,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
79,-26.804999999999986,186.16000000000003,-51.79999999999998,A_PA1_to_C1,0.7858469184591672,0.008105684860898812,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
80,-25.44,186.35000000000008,-51.79999999999998,A_PA1_to_C1,0.8302704985966127,0.008123808034801292,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
81,-24.070000000000004,186.54,-51.79999999999998,A_PA1_to_C1,0.8055680327602279,0.008097527299696037,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
82,-22.705,186.70999999999995,-51.79999999999998,A_PA1_to_C1,0.8040327342730705,0.00805620316852364,22.0,64,V4.1b Green + Gaussian with validated reference-frame correction
